danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.799,0.57,1,-8.186,1,0.431,0.47,0.0,0.113,0.783,147.245,audio_features,3N8hTmz2BNTZwKhjymG1Q5,spotify:track:3N8hTmz2BNTZwKhjymG1Q5,https://api.spotify.com/v1/tracks/3N8hTmz2BNTZwKhjymG1Q5,https://api.spotify.com/v1/audio-analysis/3N8hTmz2BNTZwKhjymG1Q5,176327,4
0.912,0.712,5,-7.71,0,0.353,0.738,0.0,0.143,0.929,140.971,audio_features,4SbhFbZdJMEPHABg4igsLn,spotify:track:4SbhFbZdJMEPHABg4igsLn,https://api.spotify.com/v1/tracks/4SbhFbZdJMEPHABg4igsLn,https://api.spotify.com/v1/audio-analysis/4SbhFbZdJMEPHABg4igsLn,165106,4
0.873,0.652,5,-11.783,0,0.467,0.361,2.81e-05,0.182,0.682,151.862,audio_features,09VwLfTaX6fYDZhofvEVbw,spotify:track:09VwLfTaX6fYDZhofvEVbw,https://api.spotify.com/v1/tracks/09VwLfTaX6fYDZhofvEVbw,https://api.spotify.com/v1/audio-analysis/09VwLfTaX6fYDZhofvEVbw,213158,4
0.873,0.362,1,-15.733,1,0.294,0.143,9.33e-06,0.0806,0.295,142.075,audio_features,2e7lpjjoYA2ijj4X8gfHUr,spotify:track:2e7lpjjoYA2ijj4X8gfHUr,https://api.spotify.com/v1/tracks/2e7lpjjoYA2ijj4X8gfHUr,https://api.spotify.com/v1/audio-analysis/2e7lpjjoYA2ijj4X8gfHUr,167448,4
0.606,0.799,9,-3.468,1,0.128,0.0344,0.964,0.322,0.227,139.792,audio_features,2cZ2Vx1EQzK4PFo87Z22Fn,spotify:track:2cZ2Vx1EQzK4PFo87Z22Fn,https://api.spotify.com/v1/tracks/2cZ2Vx1EQzK4PFo87Z22Fn,https://api.spotify.com/v1/audio-analysis/2cZ2Vx1EQzK4PFo87Z22Fn,87429,4
0.507,0.872,8,-5.896,1,0.386,0.13,0.0,0.247,0.653,167.472,audio_features,6NuJOIXGYhc3UhhpFZmtxh,spotify:track:6NuJOIXGYhc3UhhpFZmtxh,https://api.spotify.com/v1/tracks/6NuJOIXGYhc3UhhpFZmtxh,https://api.spotify.com/v1/audio-analysis/6NuJOIXGYhc3UhhpFZmtxh,160773,4
0.679,0.583,6,-7.686,1,0.182,0.0223,2.44e-06,0.0933,0.472,161.812,audio_features,4izostFFe2ryryY0QV139K,spotify:track:4izostFFe2ryryY0QV139K,https://api.spotify.com/v1/tracks/4izostFFe2ryryY0QV139K,https://api.spotify.com/v1/audio-analysis/4izostFFe2ryryY0QV139K,184052,4
0.645,0.244,3,-12.558,0,0.0516,0.296,0.922,0.114,0.964,146.179,audio_features,475fSfeDIh7mvvDF0J5E3E,spotify:track:475fSfeDIh7mvvDF0J5E3E,https://api.spotify.com/v1/tracks/475fSfeDIh7mvvDF0J5E3E,https://api.spotify.com/v1/audio-analysis/475fSfeDIh7mvvDF0J5E3E,70165,4
0.729,0.518,1,-5.784,1,0.0536,0.217,0.000227,0.0426,0.918,105.792,audio_features,0sq6iewpNEULKxGLaYdld8,spotify:track:0sq6iewpNEULKxGLaYdld8,https://api.spotify.com/v1/tracks/0sq6iewpNEULKxGLaYdld8,https://api.spotify.com/v1/audio-analysis/0sq6iewpNEULKxGLaYdld8,272299,4
0.784,0.695,1,-6.937,1,0.0682,0.437,1.17e-05,0.117,0.799,119.984,audio_features,2caajiEdKmX5obLI81GZrP,spotify:track:2caajiEdKmX5obLI81GZrP,https://api.spotify.com/v1/tracks/2caajiEdKmX5obLI81GZrP,https://api.spotify.com/v1/audio-analysis/2caajiEdKmX5obLI81GZrP,144000,4
