danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.592,0.935,0,-4.676,1,0.133,0.182,0.0,0.321,0.653,130.02,audio_features,6n47F9dIaHnntab8G5cRZp,spotify:track:6n47F9dIaHnntab8G5cRZp,https://api.spotify.com/v1/tracks/6n47F9dIaHnntab8G5cRZp,https://api.spotify.com/v1/audio-analysis/6n47F9dIaHnntab8G5cRZp,198533,4
0.587,0.769,4,-5.868,1,0.0472,0.22,0.0,0.505,0.967,115.109,audio_features,7DfHmCnSLftVHPvtFPFsmA,spotify:track:7DfHmCnSLftVHPvtFPFsmA,https://api.spotify.com/v1/tracks/7DfHmCnSLftVHPvtFPFsmA,https://api.spotify.com/v1/audio-analysis/7DfHmCnSLftVHPvtFPFsmA,179774,4
0.709,0.817,6,-5.63,1,0.0391,0.195,4.31e-06,0.0586,0.596,126.075,audio_features,03u6NcIx3EineN6cRBZCd4,spotify:track:03u6NcIx3EineN6cRBZCd4,https://api.spotify.com/v1/tracks/03u6NcIx3EineN6cRBZCd4,https://api.spotify.com/v1/audio-analysis/03u6NcIx3EineN6cRBZCd4,206107,4
0.772,0.928,0,-4.391,1,0.0361,0.204,0.0,0.112,0.92,119.991,audio_features,5OjIpU2wnpV30LNFZTdrtq,spotify:track:5OjIpU2wnpV30LNFZTdrtq,https://api.spotify.com/v1/tracks/5OjIpU2wnpV30LNFZTdrtq,https://api.spotify.com/v1/audio-analysis/5OjIpU2wnpV30LNFZTdrtq,228520,4
0.659,0.778,7,-4.26,1,0.0244,0.00018,0.00129,0.379,0.592,108.013,audio_features,41HiaE2rHph7xTYt5mvzrA,spotify:track:41HiaE2rHph7xTYt5mvzrA,https://api.spotify.com/v1/tracks/41HiaE2rHph7xTYt5mvzrA,https://api.spotify.com/v1/audio-analysis/41HiaE2rHph7xTYt5mvzrA,226587,4
0.704,0.951,5,-3.304,1,0.0462,0.0905,0.000156,0.338,0.833,123.981,audio_features,1eYV0EgIjSL4q0TgfQekJf,spotify:track:1eYV0EgIjSL4q0TgfQekJf,https://api.spotify.com/v1/tracks/1eYV0EgIjSL4q0TgfQekJf,https://api.spotify.com/v1/audio-analysis/1eYV0EgIjSL4q0TgfQekJf,202427,4
0.691,0.933,7,-5.579,1,0.0286,0.198,0.0,0.285,0.689,130.03,audio_features,5jw3qLAj0Vc6dvXFipchXA,spotify:track:5jw3qLAj0Vc6dvXFipchXA,https://api.spotify.com/v1/tracks/5jw3qLAj0Vc6dvXFipchXA,https://api.spotify.com/v1/audio-analysis/5jw3qLAj0Vc6dvXFipchXA,236789,4
0.678,0.933,4,-3.347,1,0.0404,0.0742,0.0,0.42,0.677,166.953,audio_features,4qSzIHwKjj7DoCsoXe7RPw,spotify:track:4qSzIHwKjj7DoCsoXe7RPw,https://api.spotify.com/v1/tracks/4qSzIHwKjj7DoCsoXe7RPw,https://api.spotify.com/v1/audio-analysis/4qSzIHwKjj7DoCsoXe7RPw,188276,4
0.634,0.797,9,-5.987,1,0.0402,0.43,0.0,0.0541,0.787,123.808,audio_features,6XAhhD4ZbcHoPm7FdcFzbS,spotify:track:6XAhhD4ZbcHoPm7FdcFzbS,https://api.spotify.com/v1/tracks/6XAhhD4ZbcHoPm7FdcFzbS,https://api.spotify.com/v1/audio-analysis/6XAhhD4ZbcHoPm7FdcFzbS,207627,4
0.616,0.936,2,-3.106,1,0.0399,0.00449,2.61e-06,0.093,0.491,119.988,audio_features,3FiUrmUhTAuHUTkwIbxohM,spotify:track:3FiUrmUhTAuHUTkwIbxohM,https://api.spotify.com/v1/tracks/3FiUrmUhTAuHUTkwIbxohM,https://api.spotify.com/v1/audio-analysis/3FiUrmUhTAuHUTkwIbxohM,217007,4
