danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.836,0.409,-14.189,101.931,0.233,0.258,19,6iiCzEd1ULpq7nXbZVQ4pi
0.927,0.619,-4.441,117.995,0.817,0.0186,11,6wsqVwoiVH2kde4k4KKAFU
0.909,0.564,-7.483,146.94,0.548,0.0107,2,0zbGWzQkLY5wn4xyiLYEi0
0.736,0.645,-5.195,132.024,0.201,0.0724,3,4367dXCt02KMgELPisJ2D4
0.877,0.229,-15.385,134.991,0.336,0.0981,2,7idI4LLo9LVLqrvvzhSj3n
0.842,0.857,-4.521,136.956,0.54,0.269,2,2jmdxJ60YfV3fVemuLz7pD
0.525,0.552,-6.575,144.382,0.148,0.0332,3,0oqnZWNBvobs1t181f45Ck
0.663,0.67,-8.399,136.952,0.138,0.0464,3,2YSzYUF3jWqb9YP9VXmpjE
0.93,0.682,-8.799,126.003,0.962,0.028,11,1nQaTUDJ7Rc4yOvZmg9Ozr
0.805,0.63,-6.467,129.232,0.567,0.225,2,35gu7pEQ2gOLUvskspCD3Y
0.825,0.497,-11.278,171.95,0.536,0.0286,2,24zmKlJp1LlIRpagSbMaRY
0.868,0.538,-8.603,99.968,0.732,0.269,19,2IGMVunIBsBLtEQyoI1Mu7
0.458,0.535,-4.854,82.826,0.216,0.575,12,1i9lZvlaDdWDPyXEE95aiq
0.67,0.555,-9.12,156.937,0.16,0.0382,3,4M68xjcc42oxyphhzpOWXS
0.831,0.793,-4.127,144.967,0.833,0.0195,4,3ScMs95OaNlkrZuRe7gyYa
0.862,0.621,-7.423,124.081,0.239,0.379,2,6ulEymrJ2Azx1uo3YHSE5w
0.886,0.558,-7.806,75.499,0.614,0.00789,19,6N7TGPYfGP2oxiy9Cpaz9G
0.847,0.622,-6.747,130.001,0.22,0.119,2,4rXLjWdF2ZZpXCVTfWcshS
0.544,0.496,-12.032,103.148,0.314,0.13,0,3kfhS2L56Wj8fBcu7xE47H
0.94,0.652,-5.806,95.976,0.712,0.00226,19,53QRPT9Z42ALxGL1YGT9x1
0.677,0.658,-6.223,189.976,0.164,0.0538,3,6Qc90FMwNUjJ2M893RdYUg
0.816,0.649,-5.12,138.056,0.686,0.709,7,3Kh8X9lHztqVBTgw30HbXn
0.869,0.557,-7.112,124.927,0.629,0.577,7,7LTCmtMpf3JPfBE8gAl64z
0.593,0.724,-7.162,81.308,0.58,0.0896,0,3DFkDKoILOZ3an5oJzKDNZ
0.558,0.657,-4.853,91.306,0.5,0.132,0,2hkcNrUwTVwKqjfUO1Kx3d
0.915,0.618,-8.581,140.964,0.154,0.0137,2,7GkZ2cx7i74zu1piQy3i6T
0.665,0.688,-6.024,167.056,0.272,0.0123,3,1WzuY075zswuk0pgMNrqCT
0.825,0.714,-4.645,128.026,0.292,0.0615,2,3KSfYydFjoi6TjH2lyIhI9
0.739,0.536,-10.843,82.549,0.64,0.231,19,7icwQvajsokotDfM3tefW6
0.822,0.64,-10.131,142.106,0.611,0.119,11,5ia8VbDkfzWBjC6f3bOTt1
0.557,0.774,-5.275,111.975,0.397,0.012,0,67nepsnrcZkowTxMWigSbb
0.646,0.758,-5.673,73.318,0.407,0.531,0,4EKfEZ89t2DzU41RbsyFC6
0.676,0.844,-4.831,163.992,0.424,0.271,10,166lmjn9xjWj1AEdGX8PYh
